,filename,labels
0,mmimdb/dataset/0106714.jpeg,"['Crime', 'Drama', 'Thriller']"
1,mmimdb/dataset/0204504.jpeg,"['Action', 'Crime', 'Drama', 'Thriller']"
2,mmimdb/dataset/1865357.jpeg,['Drama']
3,mmimdb/dataset/0033804.jpeg,"['Comedy', 'Romance']"
4,mmimdb/dataset/0066423.jpeg,['Comedy']
5,mmimdb/dataset/0045130.jpeg,"['Documentary', 'Short']"
6,mmimdb/dataset/0114323.jpeg,['Drama']
7,mmimdb/dataset/0087983.jpeg,"['Drama', 'Romance', 'Comedy']"
8,mmimdb/dataset/0185014.jpeg,"['Comedy', 'Drama']"
9,mmimdb/dataset/1117523.jpeg,"['Documentary', 'Action', 'Comedy']"
10,mmimdb/dataset/0119448.jpeg,"['Crime', 'Drama', 'Mystery']"
11,mmimdb/dataset/0080776.jpeg,"['Documentary', 'History']"
12,mmimdb/dataset/0390080.jpeg,['Drama']
13,mmimdb/dataset/1074213.jpeg,['Romance']
14,mmimdb/dataset/1018785.jpeg,"['Comedy', 'Drama', 'Family', 'Romance']"
15,mmimdb/dataset/0203408.jpeg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']"
16,mmimdb/dataset/0090522.jpeg,"['Drama', 'Romance']"
17,mmimdb/dataset/0038321.jpeg,['Western']
18,mmimdb/dataset/0101371.jpeg,"['Drama', 'Comedy']"
19,mmimdb/dataset/0097017.jpeg,"['Horror', 'Thriller']"
20,mmimdb/dataset/0063671.jpeg,['Thriller']
21,mmimdb/dataset/0050539.jpeg,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']"
22,mmimdb/dataset/1715873.jpeg,"['Comedy', 'Drama', 'Romance']"
23,mmimdb/dataset/0054248.jpeg,"['Crime', 'Drama', 'Sport']"
24,mmimdb/dataset/0342735.jpeg,['Drama']
25,mmimdb/dataset/3100636.jpeg,"['Drama', 'Family']"
26,mmimdb/dataset/0124169.jpeg,"['Documentary', 'War']"
27,mmimdb/dataset/0462338.jpeg,"['Comedy', 'Drama']"
28,mmimdb/dataset/2437548.jpeg,"['Comedy', 'Drama', 'Romance']"
29,mmimdb/dataset/0098051.jpeg,"['Action', 'Crime', 'Drama', 'Thriller']"
30,mmimdb/dataset/0490701.jpeg,"['Comedy', 'Romance']"
31,mmimdb/dataset/0435679.jpeg,"['Drama', 'Romance']"
32,mmimdb/dataset/0171865.jpeg,['Drama']
33,mmimdb/dataset/0029002.jpeg,"['Drama', 'Romance']"
34,mmimdb/dataset/2708254.jpeg,['Drama']
35,mmimdb/dataset/0106937.jpeg,"['Action', 'Adventure', 'Comedy', 'History']"
36,mmimdb/dataset/0256415.jpeg,"['Comedy', 'Romance']"
37,mmimdb/dataset/0380275.jpeg,"['Documentary', 'Music']"
38,mmimdb/dataset/0174336.jpeg,"['Comedy', 'Romance']"
39,mmimdb/dataset/0396190.jpeg,"['Drama', 'Thriller']"
40,mmimdb/dataset/0196857.jpeg,"['Comedy', 'Drama', 'Sport']"
41,mmimdb/dataset/0074554.jpeg,"['Comedy', 'Drama']"
42,mmimdb/dataset/0081693.jpeg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
43,mmimdb/dataset/0869921.jpeg,"['Drama', 'Romance', 'Thriller']"
44,mmimdb/dataset/0090357.jpeg,"['Adventure', 'Fantasy', 'Mystery', 'Thriller']"
45,mmimdb/dataset/0219374.jpeg,"['Comedy', 'Drama', 'Musical', 'Romance', 'Thriller']"
46,mmimdb/dataset/0067109.jpeg,"['Comedy', 'Drama', 'Thriller']"
47,mmimdb/dataset/0902272.jpeg,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
48,mmimdb/dataset/0048055.jpeg,['Western']
49,mmimdb/dataset/0034778.jpeg,"['Biography', 'Drama', 'Romance', 'Sport']"
50,mmimdb/dataset/0072829.jpeg,"['Action', 'Comedy', 'Drama', 'Crime']"
51,mmimdb/dataset/0066471.jpeg,"['Action', 'War', 'Drama']"
52,mmimdb/dataset/0082533.jpeg,['Horror']
53,mmimdb/dataset/2201548.jpeg,"['Drama', 'Romance']"
54,mmimdb/dataset/1441940.jpeg,"['Drama', 'Romance']"
55,mmimdb/dataset/0193854.jpeg,"['Drama', 'Sport']"
56,mmimdb/dataset/0446298.jpeg,"['Drama', 'Thriller']"
57,mmimdb/dataset/0424272.jpeg,"['Documentary', 'War']"
58,mmimdb/dataset/0061810.jpeg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
59,mmimdb/dataset/0071610.jpeg,"['Action', 'Drama', 'Thriller']"
60,mmimdb/dataset/0099204.jpeg,"['Comedy', 'Crime']"
61,mmimdb/dataset/1014762.jpeg,"['Documentary', 'Drama', 'Family']"
62,mmimdb/dataset/0252488.jpeg,['Comedy']
63,mmimdb/dataset/0279176.jpeg,"['Comedy', 'Documentary']"
64,mmimdb/dataset/0099818.jpeg,"['Comedy', 'Drama', 'Romance']"
65,mmimdb/dataset/1278480.jpeg,['Documentary']
66,mmimdb/dataset/1515059.jpeg,"['Documentary', 'Family']"
67,mmimdb/dataset/0345185.jpeg,"['Drama', 'Romance']"
68,mmimdb/dataset/0036929.jpeg,['Thriller']
69,mmimdb/dataset/0104604.jpeg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
70,mmimdb/dataset/0157154.jpeg,['Drama']
71,mmimdb/dataset/0053134.jpeg,"['Comedy', 'Drama']"
72,mmimdb/dataset/0018097.jpeg,['Horror']
73,mmimdb/dataset/1054112.jpeg,"['Horror', 'Mystery', 'Thriller']"
74,mmimdb/dataset/0110259.jpeg,"['Drama', 'Romance', 'Thriller']"
75,mmimdb/dataset/0093476.jpeg,"['Fantasy', 'Comedy']"
76,mmimdb/dataset/0423409.jpeg,"['Comedy', 'Drama']"
77,mmimdb/dataset/0164181.jpeg,"['Horror', 'Mystery', 'Thriller']"
78,mmimdb/dataset/0065839.jpeg,['Comedy']
79,mmimdb/dataset/0875113.jpeg,"['Comedy', 'Drama']"
80,mmimdb/dataset/1032755.jpeg,"['Action', 'Crime', 'Thriller']"
81,mmimdb/dataset/1922555.jpeg,['Documentary']
82,mmimdb/dataset/0416212.jpeg,['Drama']
83,mmimdb/dataset/0098453.jpeg,"['Comedy', 'Family', 'Fantasy', 'Romance']"
84,mmimdb/dataset/0310149.jpeg,"['Action', 'Sci-Fi']"
85,mmimdb/dataset/0449086.jpeg,"['Drama', 'Horror', 'Thriller']"
86,mmimdb/dataset/0076674.jpeg,"['Biography', 'Drama', 'Music']"
87,mmimdb/dataset/2023473.jpeg,['Drama']
88,mmimdb/dataset/0033373.jpeg,"['Comedy', 'Romance']"
89,mmimdb/dataset/1656190.jpeg,"['Action', 'Crime', 'Thriller']"
90,mmimdb/dataset/0243415.jpeg,"['Action', 'Drama', 'Crime']"
91,mmimdb/dataset/0118798.jpeg,"['Comedy', 'Drama', 'Romance']"
92,mmimdb/dataset/0025830.jpeg,"['Romance', 'Western']"
93,mmimdb/dataset/1606761.jpeg,"['Action', 'History']"
94,mmimdb/dataset/0117476.jpeg,"['Drama', 'Romance', 'Western']"
95,mmimdb/dataset/0439784.jpeg,"['Documentary', 'Comedy']"
96,mmimdb/dataset/0087225.jpeg,"['Adventure', 'Family', 'Fantasy', 'Sci-Fi']"
97,mmimdb/dataset/1269734.jpeg,"['Action', 'Crime', 'Thriller']"
98,mmimdb/dataset/0111709.jpeg,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance', 'War']"
99,mmimdb/dataset/1219289.jpeg,"['Mystery', 'Sci-Fi', 'Thriller']"
100,mmimdb/dataset/1787067.jpeg,"['Documentary', 'History']"
101,mmimdb/dataset/0304391.jpeg,"['Action', 'Crime', 'Thriller', 'Drama']"
102,mmimdb/dataset/1219817.jpeg,"['Comedy', 'Fantasy', 'Mystery', 'Romance']"
103,mmimdb/dataset/1606389.jpeg,"['Drama', 'Romance']"
104,mmimdb/dataset/0116629.jpeg,"['Action', 'Adventure', 'Sci-Fi']"
105,mmimdb/dataset/0216625.jpeg,"['Drama', 'Romance', 'War']"
106,mmimdb/dataset/1621426.jpeg,"['Comedy', 'Drama']"
107,mmimdb/dataset/0053054.jpeg,"['Comedy', 'Romance']"
108,mmimdb/dataset/1924394.jpeg,"['Comedy', 'Crime', 'Drama']"
109,mmimdb/dataset/0065872.jpeg,['Drama']
110,mmimdb/dataset/0053244.jpeg,"['Adventure', 'Crime', 'Drama']"
111,mmimdb/dataset/0116418.jpeg,"['Comedy', 'Drama']"
112,mmimdb/dataset/0045589.jpeg,"['Comedy', 'Musical', 'Sport']"
113,mmimdb/dataset/0443274.jpeg,"['Crime', 'Drama', 'Mystery', 'Thriller']"
114,mmimdb/dataset/0025919.jpeg,"['Comedy', 'Romance']"
115,mmimdb/dataset/3889036.jpeg,['Documentary']
116,mmimdb/dataset/0042832.jpeg,"['Crime', 'Drama', 'Film-Noir', 'Thriller']"
